Open time,Open,High,Low,Close,POC
2019-10-20,53.72,55.46,52.58,54.85,53.09
2019-10-21,54.85,55.74,53.67,54.57,54.3
2019-10-22,54.58,55.09,52.97,53.39,54.26
2019-10-23,53.38,53.44,47.1,49.5,48.99
2019-10-24,49.48,50.32,48.3,49.54,49.91
2019-10-25,49.54,58.7,49.01,56.93,56.9
2019-10-26,56.93,63.37,54.14,56.71,58.7
2019-10-27,56.69,62.85,55.59,59.78,60.35
2019-10-28,59.79,62.47,57.4,57.7,58.25
2019-10-29,57.73,60.75,57.65,59.75,59.77
2019-10-30,59.75,61.05,56.88,57.89,59.51
2019-10-31,57.9,59.56,57.01,58.29,58.65
2019-11-01,58.29,58.8,56.68,58.23,57.66
2019-11-02,58.23,59.19,57.73,58.25,58.13
2019-11-03,58.25,58.75,57.18,58.29,57.7
2019-11-04,58.28,62.4,57.87,61.29,61.39
2019-11-05,61.29,64.15,60.89,63.12,62.55
2019-11-06,63.13,64.33,62.56,64.11,63.5
2019-11-07,64.11,64.33,60.27,61.39,61.41
2019-11-08,61.39,62.49,58.93,60.38,60.57
2019-11-09,60.38,62.37,60.17,62.04,61.19
2019-11-10,62.03,66.19,60.8,63.65,62.7
2019-11-11,63.65,64.33,60.47,61.84,61.89
2019-11-12,61.84,62.25,59.75,61.42,61.13
2019-11-13,61.45,62.05,60.27,60.96,60.86
2019-11-14,60.96,61.1,58.25,59.0,59.62
2019-11-15,59.0,60.75,56.2,57.6,57.36
2019-11-16,57.6,58.98,57.14,58.3,57.67
2019-11-17,58.3,59.97,57.55,59.22,59.59
2019-11-18,59.21,59.3,54.0,55.81,56.12
2019-11-19,55.81,56.23,54.2,55.13,54.87
2019-11-20,55.13,56.16,54.61,54.98,55.0
2019-11-21,54.99,55.29,48.51,50.61,53.87
2019-11-22,50.61,51.55,43.58,47.32,46.8
2019-11-23,47.32,48.53,46.13,48.1,47.49
2019-11-24,48.1,48.24,43.45,43.86,47.21
2019-11-25,43.9,47.42,42.04,45.47,43.37
2019-11-26,45.48,47.57,45.22,46.91,46.31
2019-11-27,46.91,48.69,44.51,47.7,47.0
2019-11-28,47.68,48.0,46.01,46.79,47.76
2019-11-29,46.79,49.33,46.73,48.54,47.0
2019-11-30,48.54,48.76,46.53,47.21,48.35
2019-12-01,47.21,48.45,45.5,47.45,46.52
2019-12-02,47.45,47.57,44.71,45.45,45.8
2019-12-03,45.45,46.22,44.26,44.75,45.62
2019-12-04,44.75,46.98,43.69,44.67,44.87
2019-12-05,44.67,45.21,43.7,44.81,44.57
2019-12-06,44.81,45.5,44.05,45.28,45.2
2019-12-07,45.28,46.5,44.94,45.15,45.4
2019-12-08,45.15,46.2,44.81,45.56,45.8
2019-12-09,45.56,45.87,44.04,44.45,45.61
2019-12-10,44.45,44.67,43.6,44.09,44.42
2019-12-11,44.09,44.46,43.27,43.7,44.14
2019-12-12,43.7,44.11,42.84,43.65,43.33
2019-12-13,43.65,44.55,43.43,44.44,43.76
2019-12-14,44.44,44.67,43.19,43.25,43.33
2019-12-15,43.28,44.04,42.9,43.44,43.57
2019-12-16,43.44,43.56,39.02,39.99,42.81
2019-12-17,39.99,40.13,36.1,36.92,39.55
2019-12-18,36.92,41.71,35.78,40.79,39.0
2019-12-19,40.78,41.1,39.06,39.65,39.61
2019-12-20,39.66,40.41,39.25,40.17,40.2
